Article_Title,URL
"Former Vice President Dick Cheney will vote for Harris, his daughter Liz Cheney says",https://www.nbcnews.com/politics/2024-election/dick-cheney-kamala-harris-liz-cheney-rcna169979
5 takeaways from the first Harris-Trump debate,https://thehill.com/homenews/campaign/4873433-vice-president-harris-trump-debate/
Taylor Swift endorses Kamala Harris for president,https://www.dw.com/en/taylor-swift-endorses-kamala-harris-for-president/a-70184935
"Gun shots fired near Trump at his Florida golf course, former president is ‘safe’",https://www.npr.org/2024/09/15/g-s1-23117/gun-shots-fired-trump-florida-golf-course
Trump ground game operation now largely run by Elon Musk-backed group,https://www.theguardian.com/us-news/2024/sep/26/trump-voter-turnout-elon-musk-pac
Vance and Walz keep it civil in a policy-heavy discussion: VP debate takeaways,https://apnews.com/article/debate-takeaways-vance-walz-harris-trump-5b6f219b555416ff579764048ac238a1
Musk-founded PAC says it will give $47 for every swing-state voter referral who signs petition,https://thehill.com/homenews/campaign/4919368-elon-musk-petition-swing-states/
Musk offers voters $1 million a day to sign PAC petition backing the Constitution. Is that legal?,https://apnews.com/article/musk-1-million-giveaway-trump-voters-petition-b4e48acbfe04fde735e60b1911ad0197
Arrest made after Phoenix USPS collection mailbox fire damages ballots overnight,https://www.abc15.com/news/region-phoenix-metro/central-phoenix/ballots-damaged-after-usps-mail-collection-box-fire-near-7th-avenue-and-indian-school-road
The Washington Post says it will not endorse a candidate for president,https://www.washingtonpost.com/style/media/2024/10/25/washington-post-endorsement-president/
Daughter of L.A. Times Owner Says Endorsement Decision Stemmed From Harris Stance on Gaza War,https://www.nytimes.com/2024/10/26/us/los-angeles-times-endorsement-soon-shiong.html
Kamala Harris Does Not Deserve The Nation’s Endorsement,https://www.thenation.com/article/politics/kamala-harris-counter-endorsement/
Half of Americans see Donald Trump as a fascist: POLL,https://abcnews.go.com/Politics/donald-trump-fascist-concerns-poll/story?id=115083795
"For Puerto Ricans, this is our October surprise",https://www.politico.com/newsletters/west-wing-playbook/2024/10/28/for-puerto-ricans-this-is-our-october-surprise-00185872
US election: Puerto Rican voters could deliver Donald Trump an unwelcome ‘October surprise’,https://theconversation.com/us-election-puerto-rican-voters-could-deliver-donald-trump-an-unwelcome-october-surprise-242326
The Memo:Trump campaign struggles to contain Puerto Rico October surprise,https://thehill.com/homenews/campaign/4958098-the-memo-trump-campaign-struggles-to-contain-puerto-rico-october-surprise/
Tony Hinchcliffe: Backlash after comedian at Trump rally calls Puerto Rico ,https://www.bbc.com/news/articles/cy9jj2g75q4o
The Affordable Care Act could soon be upended,https://www.newsweek.com/affordable-care-act-obamacare-mike-johnson-donald-trump-1977788
"Mike Johnson pledges to scrap Obamacare if Trump wins, saying it will be “a big part of the agenda”",https://www.salon.com/2024/10/31/mike-johnson-pledges-to-scrap-if-wins-saying-it-will-be-a-big-part-of-the-agenda/
Trump campaign distances itself from House speaker’s plan for ‘massive reform’ to the ACA,https://abcnews.go.com/Politics/trump-campaign-distances-house-speakers-plan-massive-reform/story?id=115313086
Even the Trump campaign wants no part of Mike Johnson’s ‘No Obamacare’ comment,https://www.msnbc.com/top-stories/latest/mike-johnson-no-obamacare-repeal-trump-campaign-rcna178198
A November Surprise? – AGF Perspectives,https://perspectives.agf.com/a-november-surprise/
Harris says she strongly disagrees with criticism of people based on who they vote for,https://www.nbcnews.com/politics/2024-election/kamala-harris-says-strongly-disagrees-criticism-people-based-vote-rcna178013
Biden tries to clarify ‘garbage’ comment after uproar,https://www.bbc.co.uk/news/articles/cdd09e4nl30o
Is Joe Biden “garbage” comment Kamala Harris’ “deplorables” moment?,https://www.newsweek.com/joe-biden-kamala-harris-deplorables-moment-1977241
AP sources: White House altered record of Biden’s ‘garbage’ remarks despite stenographer concerns,https://apnews.com/article/biden-garbage-transcript-puerto-rico-trump-326e2f516a94a470a423011a946b6252
"Trump says “whether the women like it or not, I’m going to protect them” at Wisconsin rally",https://www.cbsnews.com/news/trump-protecting-women-whether-they-like-it-or-not-wisconsin/
Harris rips Trump for saying he’ll protect women whether they ‘like it or not’,https://www.jsonline.com/story/news/politics/elections/2024/10/31/harris-rips-trump-on-protecting-women-whether-women-like-it-or-not/75967546007/
Donald Trump Makes American Women an Offer They Can’t Refuse,https://www.thenation.com/article/archive/trump-women-protection-racket/
Harris seizes on Trump’s pledge to protect women ‘whether they like it or not’,https://abcnews.go.com/Politics/harris-seizes-trumps-pledge-protect-women/story?id=115349240
Pro-Trump Comic’s Puerto Rico Insult Raises Democrats’ Hopes In Pennsylvania,https://www.huffpost.com/entry/pennsylvania-democrats-puerto-rico-voters-tony-hinchcliffe_n_67271b10e4b07ebc5a298924
Trump prolongs uproar over Puerto Rico slur by driving garbage truck around in ‘total fail’ election stunt,https://www.independent.co.uk/news/world/americas/us-politics/trump-garbage-truck-vest-green-bay-puerto-rico-b2638769.html
Trump’s Pennsylvania Fraud Claims Debunked: Overseas Voter Challenges Latest Claims Spreading In Battleground State,https://www.forbes.com/sites/alisondurkee/2024/11/04/trumps-pennsylvania-fraud-claims-debunked-overseas-voter-challenges-latest-claims-spreading-in-battleground-state/
Arizona’s top prosecutor investigating Trump’s comments about Cheney as possible death threat,https://www.12news.com/article/news/politics/elections/arizona-top-prosecutor-kris-investigating-trumps-comments-about-cheney-possible-death-threat/75-91f8b734-06eb-4aeb-a633-89be0df7c4c4
Harris assails Trump for saying Liz Cheney should have rifles ‘shooting at her’,https://apnews.com/article/election-trump-cheney-war-hawk-14e2037b4fd8d22acf64c8b888ce296d
Europe’s Green Parties Deliver Grave Warning to Jill Stein,https://newrepublic.com/post/187806/european-greens-warning-jill-stein-election
Europe's Greens ask Jill Stein to pull out of US election to prevent Trump victory,https://www.politico.eu/article/europes-greens-tell-jill-stein-to-pull-out-of-us-election-to-defeat-trump/
Trump says he ‘shouldn’t have left’ the White House as he closes campaign with increasingly dark message,https://kesq.com/news/national-politics/cnn-us-politics/2024/11/03/trump-says-he-shouldnt-have-left-the-white-house-as-he-closes-campaign-with-increasingly-dark-message/
Donald Trump welcomes supporter’s shout that Kamala Harris ‘worked on a corner’,https://www.independent.co.uk/tv/news/donald-trump-kamala-harris-work-corner-b2640471.html
Trump says he doesn’t ‘mind’ if someone has to ‘shoot through’ the media,https://www.politico.com/news/2024/11/03/donald-trump-rally-fake-news-00186979
Trump jokes assassin would have to shoot journalists as Pennsylvania rally goes off the rails,https://www.independent.co.uk/news/world/americas/us-politics/trump-rally-journalists-shooting-pennsylvania-b2640656.html
Trump Says He Wouldn’t Mind ‘So Much’ If The Press Was Shot,https://www.thebulwark.com/p/trump-says-he-wouldnt-mind-so-much
"Trump says he doesn’t mind if someone had to ‘shoot through’ journalists, ‘shouldn’t have left’ WH after 2020 loss",https://spectrumnews1.com/ca/southern-california/politics/2024/11/03/trump-pennsylvania-shouldn-t-have-left-reporters-shot
"Harris votes by mail, avoids weighing in on Prop 36",https://www.politico.com/live-updates/2024/11/03/2024-elections-live-coverage-updates-analysis/harris-votes-by-mail-00186993
The 2024 Election by the Numbers,https://www.cfr.org/article/2024-election-numbers
Dixville Notch Election Day vote ends in a 3-3 tie for Harris and Trump,https://www.axios.com/2024/11/05/dixville-notch-midnight-election-day-vote-results
The Trumps cast their ballots in Palm Beach,https://apnews.com/live/trump-harris-election-updates-11-5-2024#00000192-fd3d-d232-ad9a-fd3d26060000
Live election updates: Donald Trump wins U.S. presidency,https://apnews.com/live/trump-harris-election-updates-11-5-2024#00000192-fec6-d7a2-a1bb-ffcfdbb10000
Trump wins the White House in a political comeback rooted in appeals to frustrated voters,https://apnews.com/article/election-day-trump-harris-white-house-83c8e246ab97f5b97be45cdc156af4e2
Biden calls to congratulate Trump,https://apnews.com/live/trump-harris-election-updates-11-5-2024
"Watch Kamala Harris deliver concession speech: “When we lose an election, we accept the results”",https://www.cbsnews.com/news/kamala-harris-election-loss-speech-howard-university/
Putin congratulates Trump on his election victory in his first public comments on the US vote,https://apnews.com/article/putin-trump-russia-us-election-6f388707c132bdf6554ee4e615f894ad
"Trump prepares to withdraw from Paris climate agreement, NYT reports",https://www.reuters.com/business/environment/trump-prepares-withdrawing-paris-climate-agreement-nyt-reports-2024-11-08/
Why AP called Nevada’s presidential race for Trump,https://apnews.com/article/trump-harris-nevada-race-call-winner-explain-f0e0cf1973a584bbf2b4c28edf50ec6c
Shellshocked Dems return to Capitol to reckon with drubbing,https://thehill.com/homenews/campaign/4987568-shellshocked-dems-return-to-capitol-to-reckon-with-drubbing/
Georgia certifies presidential election results,https://www.thecentersquare.com/georgia/article_9145f7d4-a903-11ef-b663-fb31e88de1ab.html
Electoral college elects Donald Trump as next president,https://www.washingtonpost.com/politics/2024/12/17/electoral-college-results-donald-trump/
